PPepDB-ID	Peptide Name	Plant Source	Peptide Family	Peptide Activity	Sequence Length	Molecular Weight	Validation	PMID/DOI
PPepDB_581	Cyclotide D (Fragment)	Hybanthus floribundus	Cyclotide	Antimicrobial	106	11313.17	Experimental evidence at transcript level	16199617
PPepDB_582	Cyclotide F (Fragment)	Gloeospermum blakeanum	Cyclotide	Antimicrobial	101	10612.45	Experimental evidence at transcript level	--NA--
PPepDB_583	Cyclotide E (Fragment)	Gloeospermum blakeanum	Cyclotide	Antimicrobial	102	10908.79	Experimental evidence at transcript level	--NA--
PPepDB_584	Cyclotide J (Fragment)	Hybanthus floribundus	Cyclotide	Antimicrobial	90	9697.17	Experimental evidence at transcript level	16199617
PPepDB_585	Cyclotide M (Fragment)	Hybanthus floribundus	Cyclotide	Antimicrobial	102	11085.84	Experimental evidence at transcript level	16199617
PPepDB_586	Cyclotide E (Fragment)	Hybanthus floribundus	Cyclotide	Antimicrobial	86	9430.88	Experimental evidence at transcript level	16199617
PPepDB_587	Cyclotide E (Fragment)	Gloeospermum pauciflorum	Cyclotide	Antimicrobial	106	11296.04	Experimental evidence at transcript level	--NA--
PPepDB_588	Cyclotide D (Fragment)	Gloeospermum pauciflorum	Cyclotide	Antimicrobial	106	10936.76	Experimental evidence at transcript level	--NA--
PPepDB_589	Cyclotide E (Fragment)	Gloeospermum pauciflorum	Cyclotide	Antimicrobial	105	11067.86	Experimental evidence at transcript level	--NA--
PPepDB_590	Cyclotide A (Fragment)	Gloeospermum blakeanum	Cyclotide	Antimicrobial	104	10809.69	Experimental evidence at transcript level	--NA--
PPepDB_591	Cyclotide G (Fragment)	Gloeospermum blakeanum	Cyclotide	Antimicrobial	102	10696.61	Experimental evidence at transcript level	--NA--
PPepDB_592	Cyclotide B (Fragment)	Gloeospermum pauciflorum	Cyclotide	Antimicrobial	105	10974.88	Predicted	--NA--
PPepDB_593	Cyclotide D (Fragment)	Gloeospermum blakeanum	Cyclotide	Antimicrobial	106	11316.1	Experimental evidence at transcript level	--NA--
PPepDB_594	Cyclotide K (Fragment)	Hybanthus floribundus	Cyclotide	Antimicrobial	105	11211.1	Experimental evidence at transcript level	16199617
PPepDB_595	Protein synthesis inhibitor II	Hordeum vulgare	--NA--	Antifungal	255	27327.29	Experimental evidence at protein level	3942788
PPepDB_596	Protein synthesis inhibitor I	Hordeum vulgare	--NA--	Antifungal	255	27305.38	Experimental evidence at protein level	--NA--
PPepDB_597	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	177	18738.16	Predicted	--NA--
PPepDB_598	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	180	19251.93	Predicted	--NA--
PPepDB_599	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	180	19107.68	Predicted	--NA--
PPepDB_600	Zeamatin	Zea mays	Thaumatin	Antifungal	207	22128.86	Experimental evidence at protein level	7846159
PPepDB_602	Seed lectin alpha chain	Spatholobus parviflorus	--NA--	Antifungal	251	26373.11	Experimental evidence at protein level	--NA--
PPepDB_603	Seed lectin beta chain	Spatholobus parviflorus	--NA--	Antifungal	239	25249.46	Experimental evidence at protein level	--NA--
PPepDB_604	Thaumatin-like protein-like protein (Fragment)	Arachis diogoi	Thaumatin	Antimicrobial	222	22947.01	Experimental evidence at transcript level	--NA--
PPepDB_605	Germin-like protein	Morus alba	--NA--	Antibacterial, Antifungal	191	19863.7	Experimental evidence at protein level	23284650
PPepDB_606	Thaumatin-like protein1	Castanea sativa	Thaumatin	Antifungal	221	23467.45	Experimental evidence at transcript level	--NA--
PPepDB_608	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	24022.96	Experimental evidence at transcript level	--NA--
PPepDB_609	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	24037.97	Experimental evidence at transcript level	--NA--
PPepDB_610	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	24036.99	Experimental evidence at transcript level	--NA--
PPepDB_611	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	23989.93	Experimental evidence at transcript level	--NA--
PPepDB_612	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	23988.94	Experimental evidence at transcript level	--NA--
PPepDB_613	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	23988.94	Experimental evidence at transcript level	--NA--
PPepDB_614	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	24066.02	Experimental evidence at transcript level	--NA--
PPepDB_615	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	24065.04	Experimental evidence at transcript level	--NA--
PPepDB_616	Thaumatin-like protein (Fragment)	Picea sitchensis	Thaumatin	Antimicrobial	226	24017.98	Experimental evidence at transcript level	--NA--
PPepDB_620	Osmotin-like (Fragment)	Theobroma cacao	Thaumatin	Antimicrobial	204	22037.63	Predicted	--NA--
PPepDB_621	Antifungal protein ginkbilobin-2	Ginkgo biloba	--NA--	Antifungal	108	11660.08	Experimental evidence at protein level	17338634
PPepDB_622	Thaumatin-like protein	Arachis diogoi	Thaumatin	Antifungal	220	22740.86	Experimental evidence at transcript level	24367621
PPepDB_623	Alpha purothionin (Fragment)	Triticum aestivum	Thionin	Antimicrobial	90	9529.75	Predicted	--NA--
PPepDB_625	Osmotin (Fragment)	Oryza sativa	Thaumatin	Antimicrobial	218	22430.55	Predicted	--NA--
PPepDB_627	Protein P21.	Glycine max	Thaumatin	Antimicrobial	202	21471.76	Predicted	--NA--
PPepDB_628	Protein P21	Glycine max	Thaumatin	Antimicrobial	202	21462.75	Experimental evidence at protein level	--NA--
PPepDB_629	BETL2 protein	Zea mays	--NA--	Antimicrobial	70	7640.58	Experimental evidence at transcript level	--NA--
PPepDB_631	Thaumatin I (Fragment)	Thaumatococcus daniellii	Thaumatin	Antimicrobial	207	22205.03	Experimental evidence at protein level	--NA--
PPepDB_632	Osmotin-like protein TPM-1	Solanum lycopersicum	Thaumatin	Antifungal	225	24254.98	Experimental evidence at transcript level	8278538
PPepDB_634	Thaumatin-like protein	Actinidia deliciosa	Thaumatin	Antifungal	201	21614.23	Experimental evidence at protein level	--NA--
PPepDB_635	Thaumatin-like pathogenesis-related protein 1	Avena sativa	Thaumatin	Antifungal	148	15359.97	Experimental evidence at transcript level	8755626
PPepDB_636	Thaumatin-like pathogenesis-related protein 2	Avena sativa	Thaumatin	Antifungal	148	15375.96	Experimental evidence at transcript level	8755626
PPepDB_637	Thaumatin-like pathogenesis-related protein 3	Avena sativa	Thaumatin	Antifungal	148	15334.91	Experimental evidence at transcript level	8755626
PPepDB_640	Thaumatin-like pathogenesis-related protein 4	Avena sativa	Thaumatin	Antifungal	148	15567.95	Experimental evidence at transcript level	8755626
PPepDB_643	Osmotin-like protein (Fragment)	Solanum nigrum	Thaumatin	Antimicrobial	207	22209.14	Predicted	--NA--
PPepDB_644	Protein NP24	Solanum lycopersicum	Thaumatin	Antifungal	226	24224.32	Experimental evidence at protein level	9115696
PPepDB_650	Antifungal protein	Zea mays	Thaumatin	Antifungal	206	22074.71	Experimental evidence at protein level	1731773
PPepDB_652	Phase change-related protein	Vitis cinerea var. helleri x Vitis riparia	--NA--	Antifungal	91	9283.18	Experimental evidence at transcript level	20192835
PPepDB_657	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	175	18639.19	Predicted	--NA--
PPepDB_658	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	175	18603	Predicted	--NA--
PPepDB_684	thaumatin-like protein 1-like, partial	Glycine max	Thaumatin	Antimicrobial	255	25938.99	Predicted	--NA--
PPepDB_692	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	169	17805.05	Predicted	--NA--
PPepDB_694	Mannose-specific lectin	Dendrobium findlayanum	--NA--	Antifungal	143	16205.2	Experimental evidence at protein level	18776994
PPepDB_698	Defensin-like protein 182	Arabidopsis thaliana	Defensin	Antimicrobial	103	11015.41	Experimental evidence at transcript level	15955924
PPepDB_699	Hordoindoline-B2	Hordeum vulgare	--NA--	Antibacterial, Antifungal	119	13205.22	Experimental evidence at protein level	11785939
PPepDB_700	Hordoindoline-A	Hordeum vulgare	--NA--	Antibacterial, Antifungal	119	13241.15	Experimental evidence at transcript level	11785939
PPepDB_701	Basic endochitinase B	Arabidopsis thaliana	--NA--	Antifungal	255	27190.34	Experimental evidence at protein level	16668004
PPepDB_702	Basic endochitinase A	Secale cereale	--NA--	Antifungal	255	26467.41	Experimental evidence at protein level	12092848
PPepDB_707	Pathogenesis-related thaumatin superfamily protein isoform 2 (Fragment)	Theobroma cacao	Thaumatin	Antimicrobial	255	26797.5	Predicted	--NA--
PPepDB_708	Cyclotide protein Mra25 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	94	9976.51	Experimental evidence at transcript level	--NA--
PPepDB_709	Cyclotide protein Mra19 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	178	18768.79	Experimental evidence at transcript level	--NA--
PPepDB_710	Cyclotide Oak7 (Fragment)	Oldenlandia affinis	Cyclotide	Antimicrobial	93	10454.8	Experimental evidence at transcript level	20564018
PPepDB_711	Osmotin (Fragment)	Morus alba	Thaumatin	Antimicrobial	231	25334.33	Experimental evidence at transcript level	--NA--
PPepDB_712	Viscotoxin-B (Fragment)	Viscum album	Thionin	Antimicrobial	103	11008.3	Experimental evidence at protein level	--NA--
PPepDB_717	Ripening-associated protein (Fragment)	Musa acuminata	Thaumatin	Antimicrobial	193	20429.05	Experimental evidence at protein level	--NA--
PPepDB_718	Osmotin (Fragment)	Gossypium hirsutum	Thaumatin	Antimicrobial	118	12748.42	Predicted	--NA--
PPepDB_719	Cyclotide cliotide T5 (Fragment)	Clitoria ternatea	Cyclotide	Antimicrobial	94	10504.12	Experimental evidence at protein level	21596752
PPepDB_720	Cyclotide cliotide T1 (Fragment)	Clitoria ternatea	Cyclotide	Antimicrobial	94	10419.02	Experimental evidence at protein level	21596752
PPepDB_723	Non-specific lipid-transfer protein AP10	Helianthus annuus	--NA--	Antifungal	90	9284.87	Experimental evidence at protein level	15715642, 16008084
PPepDB_724	Crambin precursor=thionin variant Thi2Ca11	Crambe hispanica subsp. Abyssinica	Thionin	Antimicrobial	130	13453.47	Predicted	--NA--
PPepDB_727	Antifungal peptide 4	Heliophila coronopifolia	Defensin	Antifungal	50	5607.48	Experimental evidence at transcript level	22032337
PPepDB_728	Antifungal peptide 2	Heliophila coronopifolia	Defensin	Antifungal	50	5594.43	Experimental evidence at transcript level	22032337
PPepDB_733	Cyclotide Oak6 (Fragment)	Oldenlandia affinis	Cyclotide	Antimicrobial	153	16178.94	Experimental evidence at transcript level	20564018
PPepDB_735	Cyclotide protein Mra26 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	93	10055.67	Experimental evidence at transcript level	--NA--
PPepDB_736	Cyclotide protein Mra24 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	93	9878.5	Experimental evidence at transcript level	--NA--
PPepDB_737	Cyclotide protein Mra17 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	144	15238.6	Experimental evidence at transcript level	--NA--
PPepDB_738	Cyclotide protein Mra16 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	144	15176.55	Experimental evidence at transcript level	--NA--
PPepDB_739	Cyclotide protein Mra18 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	178	18732.8	Experimental evidence at transcript level	--NA--
PPepDB_740	Cyclotide protein Mra14 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	179	18807.95	Experimental evidence at transcript level	--NA--
PPepDB_741	Cyclotide protein Mra28 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	178	18636.71	Experimental evidence at transcript level	--NA--
PPepDB_742	Cyclotide protein Mra30 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	178	18636.71	Experimental evidence at transcript level	--NA--
PPepDB_743	Cyclotide protein Mra29 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	178	18673.77	Experimental evidence at transcript level	--NA--
PPepDB_744	Cyclotide protein Mra23 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	95	10138.87	Experimental evidence at transcript level	--NA--
PPepDB_745	Cyclotide protein Mra22 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	98	10399	Experimental evidence at transcript level	--NA--
PPepDB_746	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	173	18450.92	Predicted	--NA--
PPepDB_747	Putative antifungal protein	Arabidopsis thaliana	Defensin	Antifungal	50	5887.49	Experimental evidence at transcript level	--NA--
PPepDB_748	Turmerin	Curcuma longa	--NA--	Antimicrobial	85	9416.66	Experimental evidence at protein level	--NA--
PPepDB_749	Thionin class 1 (Fragment)	Tulipa gesneriana	Thionin	Antimicrobial	112	11862.62	Experimental evidence at transcript level	--NA--
PPepDB_750	Putative thaumatin-like protein (Fragment)	Medicago truncatula	Thaumatin	Antimicrobial	224	24114.31	Predicted	--NA--
PPepDB_751	Trypsin inhibitor	Fagopyrum tataricum	--NA--	Antifungal	86	9292.89	Experimental evidence at protein level	21544554
PPepDB_752	thaumatin-like protein 1a-like, partial	Cucumis sativus	Thaumatin	Antimicrobial	226	23352.84	Predicted	--NA--
PPepDB_754	Pathogenesis-related protein (Fragment)	Nicotiana tabacum	Thaumatin	Antimicrobial	244	26834.17	Experimental evidence at transcript level	--NA--
PPepDB_755	Putative thaumatin-like protein	Oryza sativa subsp. Japonica	Thaumatin	Antimicrobial	255	25250.11	Predicted	--NA--
PPepDB_756	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	164	16364.35	Predicted	--NA--
PPepDB_757	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	164	16362.28	Predicted	--NA--
PPepDB_758	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	165	16449.46	Predicted	--NA--
PPepDB_759	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	165	16435.43	Predicted	--NA--
PPepDB_760	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	165	16449.46	Predicted	--NA--
PPepDB_761	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	165	16433.36	Predicted	--NA--
PPepDB_762	Pathogenesis-related protein 5	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	176	17644.67	Predicted	--NA--
PPepDB_763	Pathogenesis-related protein 5 (Fragment)	Zea diploperennis	Thaumatin	Antimicrobial	161	16125.06	Predicted	--NA--
PPepDB_764	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	163	16307.3	Predicted	--NA--
PPepDB_765	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	163	16333.3	Predicted	--NA--
PPepDB_766	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	163	16293.27	Predicted	--NA--
PPepDB_767	Pathogenesis-related protein 5	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	174	17504.59	Predicted	--NA--
PPepDB_768	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	163	16307.3	Predicted	--NA--
PPepDB_769	Pathogenesis-related protein 5	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	174	17518.61	Predicted	--NA--
PPepDB_770	Pathogenesis-related protein 5 (Fragment)	Zea diploperennis	Thaumatin	Antimicrobial	161	16163.07	Predicted	--NA--
PPepDB_771	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	163	16323.26	Predicted	--NA--
PPepDB_772	Pathogenesis-related protein 5 (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	161	16131.01	Predicted	--NA--
PPepDB_773	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	163	16291.2	Predicted	--NA--
PPepDB_774	Pathogenesis-related protein 5	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	174	17502.51	Predicted	--NA--
PPepDB_775	Truncated thaumatin-like protein	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	158	15824.69	Predicted	--NA--
PPepDB_776	Pathogenesis-related protein 5 (Fragment)	Zea diploperennis	Thaumatin	Antimicrobial	161	16140.03	Predicted	--NA--
PPepDB_777	Pathogenesis-related protein 5 (Fragment)	Zea diploperennis	Thaumatin	Antimicrobial	161	16123.04	Predicted	--NA--
PPepDB_778	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	164	16350.33	Predicted	--NA--
PPepDB_779	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	164	16364.35	Predicted	--NA--
PPepDB_780	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	164	16348.25	Predicted	--NA--
PPepDB_781	Pathogenesis-related protein 5 (Fragment)	Zea diploperennis	Thaumatin	Antimicrobial	159	15950.9	Predicted	--NA--
PPepDB_782	Pathogenesis-related protein 5 (Fragment)	Zea diploperennis	Thaumatin	Antimicrobial	159	15990.97	Predicted	--NA--
PPepDB_783	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	161	16119.12	Predicted	--NA--
PPepDB_784	Thaumatin-like protein (Fragment)	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	161	16117.04	Predicted	--NA--
PPepDB_785	Pathogenesis-related protein 5 (Fragment)	Zea diploperennis	Thaumatin	Antimicrobial	159	16009	Predicted	--NA--
PPepDB_786	thaumatin-like protein 1	Setaria italica	Thaumatin	Antimicrobial	255	25353.38	Predicted	--NA--
PPepDB_787	thaumatin-like protein 1a-like	Setaria italica	Thaumatin	Antimicrobial	255	25135.94	Predicted	--NA--
PPepDB_788	pathogenesis-related protein 5	Solanum lycopersicum	Thaumatin	Antimicrobial	247	25388.45	Predicted	--NA--
PPepDB_789	P21 protein, putative, expressed	Oryza sativa subsp. Japonica	Thaumatin	Antimicrobial	229	23769.71	Predicted	--NA--
PPepDB_790	thaumatin-like protein 1-like	Citrus sinensis	Thaumatin	Antimicrobial	255	26275.42	Predicted	--NA--
PPepDB_791	Pathogenesis-related thaumatin family protein	Medicago truncatula	Thaumatin	Antimicrobial	249	26787.75	Predicted	--NA--
PPepDB_792	Thaumatin-like protein 1	Triticum aestivum	Thaumatin	Antimicrobial	173	17646.52	Predicted	--NA--
PPepDB_793	thaumatin-like protein 1-like	Citrus sinensis	Thaumatin	Antimicrobial	255	26688.95	Predicted	--NA--
PPepDB_794	pathogenesis-related protein 5-like	Setaria italica	Thaumatin	Antimicrobial	255	26928.78	Predicted	--NA--
PPepDB_795	Thaumatin-like protein TLP4	Hordeum vulgare	Thaumatin	Antimicrobial	171	17828.95	Experimental evidence at transcript level	--NA--
PPepDB_796	thaumatin-like protein-like [Setaria italica].	Setaria italica	Thaumatin	Antimicrobial	173	18195.42	Predicted	--NA--
PPepDB_797	Pathogenesis-related thaumatin family protein	Medicago truncatula	Thaumatin	Antimicrobial	255	26721.95	Predicted	--NA--
PPepDB_798	Pathogenesis-related thaumatin family protein	Medicago truncatula	Thaumatin	Antimicrobial	255	26659.81	Predicted	--NA--
PPepDB_799	Zeamatin	Aegilops tauschii	Thaumatin	Antimicrobial	255	27023.59	Predicted	--NA--
PPepDB_800	Zeamatin	Aegilops tauschii	Thaumatin	Antimicrobial	255	26989.77	Predicted	--NA--
PPepDB_801	Putative uncharacterized protein	Vitis vinifera	Thaumatin	Antimicrobial	255	27203.02	Predicted	--NA--
PPepDB_802	thaumatin-like protein-like	Solanum tuberosum	Thaumatin	Antimicrobial	247	26341.17	Predicted	--NA--
PPepDB_803	thaumatin-like protein	Solanum lycopersicum	Thaumatin	Antimicrobial	245	26121.88	Predicted	--NA--
PPepDB_804	pathogenesis-related protein 5-like isoform X2	Citrus sinensis	Thaumatin	Antimicrobial	238	24904.63	Predicted	--NA--
PPepDB_805	pathogenesis-related protein 5-like isoform X1	Citrus sinensis	Thaumatin	Antimicrobial	255	26482.21	Predicted	--NA--
PPepDB_806	pathogenesis-related protein 5-like	Solanum tuberosum	Thaumatin	Antimicrobial	255	27233.32	Predicted	--NA--
PPepDB_807	Putative thaumatin-like protein	Arabidopsis thaliana	Thaumatin	Antimicrobial	236	25152.64	Predicted	--NA--
PPepDB_808	Cyclotide cliotide T7	Clitoria ternatea	Cyclotide	Antimicrobial	130	14255.68	Experimental evidence at protein level	21596752
PPepDB_809	Thaumatin-like protein	Ambrosia trifida	Thaumatin	Antimicrobial	235	25645.53	Predicted	--NA--
PPepDB_810	thaumatin-like protein 1a-like	Cucumis sativus	Thaumatin	Antimicrobial	245	25813.59	Predicted	--NA--
PPepDB_811	thaumatin-like protein	Brachypodium distachyon	Thaumatin	Antimicrobial	255	26553.23	Predicted	--NA--
PPepDB_812	Thaumatin-like protein TLP5	Hordeum vulgare	Thaumatin	Antimicrobial	236	24917.19	Experimental evidence at transcript level	--NA--
PPepDB_813	thaumatin-like protein 1-like	Fragaria vesca	Thaumatin	Antimicrobial	255	26155.24	Predicted	--NA--
PPepDB_814	TPA: putative thaumatin domain family protein	Zea mays	Thaumatin	Antimicrobial	255	25361.09	Predicted	--NA--
PPepDB_815	Thaumatin-like protein L2	Pinus monticola	Thaumatin	Antimicrobial	234	24734.69	Experimental evidence at transcript level	19997927
PPepDB_816	Zeamatin precursor	Zea mays	Thaumatin	Antimicrobial	227	23999.14	Experimental evidence at transcript level	--NA--
PPepDB_817	Zeamatin-like protein	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	246	25942.85	Predicted	--NA--
PPepDB_818	Zeamatin-like protein	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	246	26083.6	Predicted	--NA--
PPepDB_819	Zeamatin-like protein	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	246	25994.47	Predicted	--NA--
PPepDB_820	Zeamatin-like protein	Zea mays subsp. Parviglumis	Thaumatin	Antimicrobial	246	25932.81	Predicted	--NA--
PPepDB_821	Pathogenesis-related thaumatin family protein	Medicago truncatula	Thaumatin	Antimicrobial	237	24585.43	Predicted	--NA--
PPepDB_822	Cyclotide 3	Petunia hybrida	Cyclotide	Antimicrobial	79	8898.64	Experimental evidence at transcript level	--NA--
PPepDB_823	Cyclotide 2	Petunia hybrida	Cyclotide	Antimicrobial	79	8868.58	Experimental evidence at transcript level	--NA--
PPepDB_824	DEF2 protein	Nicotiana tabacum	--NA--	Antimicrobial	77	8667.22	Experimental evidence at transcript level	--NA--
PPepDB_825	Hedyotide B2	Hedyotis biflora	Cyclotide	Antimicrobial	93	10083.04	Experimental evidence at transcript level	21979955
PPepDB_826	pathogenesis-related protein 5-like	Citrus sinensis	Thaumatin	Antimicrobial	255	27113.25	Predicted	--NA--
PPepDB_827	Pathogenesis-related thaumatin superfamily protein, putative isoform 1	Theobroma cacao	Thaumatin	Antimicrobial	255	27240.49	Predicted	--NA--
PPepDB_828	Pathogenesis-related thaumatin-like protein	Arabidopsis thaliana	Thaumatin	Antimicrobial	193	21607.96	Predicted	--NA--
PPepDB_829	Thaumatin-like protein 3	Theobroma cacao	Thaumatin	Antimicrobial	247	25788.82	Predicted	--NA--
PPepDB_830	At1g19320 (Pathogenesis-related thaumatin-like protein)	Arabidopsis thaliana	Thaumatin	Antimicrobial	247	25430.51	Experimental evidence at transcript level	--NA--
PPepDB_831	Putative pathogenesis-related protein 5	Arabidopsis thaliana	Thaumatin	Antimicrobial	247	25478.57	Experimental evidence at transcript level	--NA--
PPepDB_832	pathogenesis-related protein 5-like	Citrus sinensis	Thaumatin	Antimicrobial	245	25106.16	Predicted	--NA--
PPepDB_833	Pathogenesis-related thaumatin-like protein [Medicago truncatula].	Medicago truncatula	Thaumatin	Antimicrobial	255	27314.74	Predicted	--NA--
PPepDB_834	thaumatin-like protein 1-like	Brachypodium distachyon	Thaumatin	Antimicrobial	255	26007.31	Predicted	--NA--
PPepDB_835	TLP1	Gossypium barbadense	Thaumatin	Antimicrobial	244	25449.55	Experimental evidence at transcript level	--NA--
PPepDB_836	thaumatin-like protein-like	Cucumis sativus	Thaumatin	Antimicrobial	255	27500.06	Predicted	--NA--
PPepDB_837	Lemma thionin	Hordeum vulgare var. distichum	Thionin	Antimicrobial	137	14622	Experimental evidence at transcript level	--NA--
PPepDB_838	pathogenesis-related protein 5	Solanum lycopersicum	Thaumatin	Antimicrobial	255	26592.62	Predicted	--NA--
PPepDB_839	thaumatin-like protein-like [Cucumis sativus].	Cucumis sativus	Thaumatin	Antimicrobial	223	24230.16	Predicted	--NA--
